Platform,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
1990,26,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,,434,0,0,0,0,0,0,0
1992,0,12,166,0,607,0,0,0,13,0,0,0
1993,7,7,0,0,20,0,0,5,0,0,0,19
1994,0,0,132,13,367,0,113,14,8,28,19,14
1995,0,3,265,49,0,5,137,43,164,19,37,8
1996,0,159,75,0,43,15,11,0,3,0,66,3
1997,0,0,15,11,12,12,0,53,13,0,70,28
1998,8,72,37,0,248,0,0,0,26,0,55,13
1999,0,118,0,0,0,0,41,0,0,52,117,0
2000,0,12,4,0,0,0,194,11,5,0,135,0
