Platform,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
1994,0,0,127,0,0,0,86,1,37,0,83,0
1995,170,2,458,395,6,0,107,199,55,237,153,36
1996,0,0,869,714,707,0,569,205,0,9,245,0
1997,96,21,116,14,802,122,1354,986,61,131,592,23
1998,150,70,766,264,1080,74,2,77,0,105,264,0
1999,119,42,0,387,544,0,1517,310,340,83,282,0
2000,132,16,0,507,402,51,61,175,215,32,344,0
