Year,Nintendo,Sega,Sony
1990,3549,26,0
1991,1498,434,0
1992,3811,798,0
1993,1734,58,0
1994,1599,708,334
1995,1357,730,1818
1996,7370,375,3318
1997,2481,214,4318
1998,3482,459,2852
1999,4193,328,3624
2000,3027,361,1935
