Year,Microsoft,Nintendo,Sega,Sony
2006,39,2864,431,196
2007,40,1503,203,242
2008,21,1951,317,115
2009,13,2532,307,138
2010,51,1630,179,219
2011,22,1346,203,151
2012,11,1852,192,82
2013,7,1274,113,49
2014,7,1331,148,78
2015,7,739,68,45
2016,19,363,36,26
