Name;Platform;Global_Sales
Minecraft;PS3;526
Assassin's Creed II;X360;526
Tomb Raider II;PS;524
Madden NFL 2004;PS2;523
Tomodachi Life;3DS;523
New Super Mario Bros. U;WiiU;522
Dragon Quest VIII: Journey of the Cursed King;PS2;521
Super Mario Bros. 3;GBA;52
Professor Layton and the Curious Village;DS;519
Super Mario Land 3: Wario Land;GB;519
FIFA Soccer 13;X360;516
Donkey Kong Country 2: Diddy's Kong Quest;SNES;515
Diablo III;PC;514
Medal of Honor: Rising Sun;PS2;513
Kirby's Dream Land;GB;513
Microsoft Flight Simulator;PC;512
Guitar Hero II;PS2;512
Fable III;X360;51
Mario & Sonic at the Olympic Games;DS;509
Resident Evil 5;PS3;509
The Legend of Zelda: Phantom Hourglass;DS;508
Super Mario Bros.;GB;507
FIFA Soccer 11;PS3;507
Resident Evil;PS;505
Grand Theft Auto: Vice City Stories;PSP;503
Tony Hawk's Pro Skater;PS;502
Warzone 2100;PS;501
Spyro the Dragon;PS;5
Guitar Hero III: Legends of Rock;PS2;498
Link's Crossbow Training;Wii;498
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;DS;493
Fallout 3;X360;493
Uncharted: Drake's Fortune;PS3;492
Madden NFL 06;PS2;491
Diddy Kong Racing;N64;488
Monster Hunter Freedom 3;PSP;487
Super Smash Bros. for Wii U and 3DS;WiiU;487
Dr. Mario;NES;485
StarCraft II: Wings of Liberty;PC;484
Assassin's Creed;PS3;482
God of War III;PS3;48
Crash Team Racing;PS;479
LEGO Star Wars: The Complete Saga;DS;476
Driver 2;PS;473
Batman: Arkham City;X360;473
The Last of Us;PS4;471
The Simpsons: Hit & Run;PS2;47
Tony Hawk's Pro Skater 2;PS;468
The Lord of the Rings: The Two Towers;PS2;467
Tomb Raider;PS;463
Animal Crossing: City Folk;Wii;462
Uncharted: The Nathan Drake Collection;PS4;462
The Legend of Zelda: A Link to the Past;SNES;461
The Legend of Zelda: The Wind Waker;GC;46
Guitar Hero III: Legends of Rock;Wii;46
Luigi's Mansion: Dark Moon;3DS;459
Forza Motorsport 4;X360;457
Mario & Sonic at the Olympic Winter Games;Wii;453
Madden NFL 2005;PS2;453
Guitar Hero III: Legends of Rock;X360;453
Pitfall!;2600;45
Madden NFL 07;PS2;449
Halo 5: Guardians;XOne;448
Spider-Man: The Movie;PS2;448
Dragon Quest VII: Warriors of Eden;PS;447
Call of Duty: Infinite Warfare;PS4;446
God of War;PS2;445
Splatoon;WiiU;443
Nintendo Land;WiiU;442
Tony Hawk's Pro Skater 3;PS2;441
Winning Eleven: Pro Evolution Soccer 2007;PS2;439
The Elder Scrolls IV: Oblivion;X360;438
Zelda II: The Adventure of Link;NES;438
Need for Speed: Most Wanted;PS2;437
Michael Jackson: The Experience;Wii;436
Call of Duty: Advanced Warfare;PS3;436
Resistance: Fall of Man;PS3;434
Sonic the Hedgehog;GEN;434
Kingdom Hearts II;PS2;433
The Legend of Zelda: Ocarina of Time;3DS;433
Super Mario 3D World;WiiU;432
Minecraft;PS4;432
Asteroids;2600;431
Call of Duty: Advanced Warfare;X360;429
FIFA 15;PS3;428
Fable II;X360;427
Namco Museum;GBA;424
Batman: Arkham Asylum;PS3;423
Metal Gear Solid 3: Snake Eater;PS2;423
Assassin's Creed: Revelations;PS3;422
Fallout 4;XOne;422
FIFA 14;X360;422
Daxter;PSP;421
Warcraft II: Tides of Darkness;PC;421
FIFA Soccer 06;PS2;421
EyeToy Play;PS2;42
Gran Turismo 5 Prologue;PS3;419
Assassin's Creed: Revelations;X360;419
FIFA 12;X360;418
Teenage Mutant Ninja Turtles;NES;417
Street Fighter IV;PS3;416
Excitebike;NES;416
Frogger;PS;416
Madden NFL 2003;PS2;414
Half-Life;PC;412
Super Mario World 2: Yoshi's Island;SNES;412
FIFA Soccer 07;PS2;411
Street Fighter II Turbo;SNES;41
World of Warcraft: The Burning Crusade;PC;409
Battlefield 1;PS4;408
God of War II;PS2;407
World Soccer Winning Eleven 9;PS2;406
Fallout: New Vegas;X360;405
Forza Motorsport 2;X360;405
Carnival Games;Wii;405
Watch Dogs;PS4;405
Namco Museum Vol.3;PS;405
Tekken Tag Tournament;PS2;405
Far Cry 4;PS4;404
Star Fox 64;N64;403
Golf;NES;401
Namco Museum: 50th Anniversary;PS2;398
Left 4 Dead 2;X360;397
The Witcher 3: Wild Hunt;PS4;397
Assassin's Creed: Unity;PS4;396
Batman: Arkham Knight;PS4;395
The Legend of Zelda: Skyward Sword;Wii;395
Fallout 3;PS3;394
Professor Layton and the Diabolical Box;DS;394
Donkey Kong Land;GB;391
EA Sports Active;Wii;39
Tony Hawk's Underground;PS2;39
Monster Hunter 4 Ultimate;3DS;389
The Elder Scrolls V: Skyrim;PC;388
NBA 2K16;PS4;388
Tekken 5;PS2;387
Dragon Warrior III;NES;387
MotorStorm;PS3;387
Nintendogs + cats;3DS;385
World Soccer Winning Eleven 8 International;PS2;385
Sports Champions;PS3;384
Namco Museum Vol.1;PS;384
The Legend of Zelda: Link's Awakening;GB;383
Call of Duty: Ghosts;PS4;383
Flash Focus: Vision Training in Minutes a Day;DS;383
Tom Clancy's The Division;PS4;38
Big Brain Academy: Wii Degree;Wii;379
Resident Evil Director's Cut;PS;377
Mario & Luigi: Bowser's Inside Story;DS;377
LEGO Indiana Jones: The Original Adventures;X360;376
The Sims: Unleashed;PC;376
Ratchet & Clank: Size Matters;PSP;374
Harry Potter and the Sorcerer's Stone;PS;373
Mario & Sonic at the London 2012 Olympic Games;Wii;372
Resident Evil 3: Nemesis;PS;372
Super Paper Mario;Wii;371
Spyro: Year of the Dragon;PS;371
Assassin's Creed IV: Black Flag;PS3;371
FIFA Soccer 2005;PS2;37
Pokémon Trading Card Game;GB;37
Friend Collection;DS;367
Tony Hawk's Pro Skater 4;PS2;367
Star Wars Battlefront (2015);XOne;366
MySims;DS;366
Midnight Club 3: DUB Edition;PSP;365
Banjo-Kazooie;N64;365
SOCOM: U.S. Navy SEALs;PS2;365
Jak and Daxter: The Precursor Legacy;PS2;364
Pokemon Snap;N64;363
Pro Evolution Soccer 2008;PS2;363
Resident Evil 4;PS2;362
Guitar Hero: World Tour;Wii;362
FIFA Soccer 10;PS3;362
Star Wars: Battlefront;PS2;361
Doom II: Hell on Earth;PC;361
The Simpsons: Road Rage;PS2;361
Luigi's Mansion;GC;36
Battlefield 4;PS4;359
Star Wars: Battlefront II;PS2;359
Just Dance 2014;Wii;359
Cooking Mama 2: Dinner With Friends;DS;358
WWF SmackDown!;PS;358
Croc: Legend of the Gobbos;PS;356
Grand Theft Auto: Liberty City Stories;PS2;354
The Getaway;PS2;354
Tomb Raider III: Adventures of Lara Croft;PS;354
James Bond 007: Agent Under Fire;PS2;353
LEGO Star Wars: The Video Game;PS2;353
Rugrats in Paris: The Movie;PS;352
FIFA Soccer 11;X360;352
Spyro 2: Ripto's Rage!;PS;352
Left 4 Dead;X360;351
Donkey Kong Country 3: Dixie Kong's Double Trouble!;SNES;351
Assassin's Creed: Unity;XOne;35
Kung Fu;NES;35
Resident Evil 5;X360;35
Assassin's Creed: Brotherhood;X360;349
FIFA Soccer 2004;PS2;349
Battlefield 4;PS3;349
Batman: Arkham Asylum;X360;348
Battlefield 4;X360;348
Battlefield: Bad Company 2;X360;347
Mario & Sonic at the Olympic Winter Games;DS;346
Guitar Hero: On Tour;DS;346
Clubhouse Games;DS;345
Monster Hunter 4;3DS;344
Borderlands;X360;344
Tekken 4;PS2;344
Final Fantasy III;SNES;342
Grand Theft Auto 2;PS;342
Metal Gear Solid V: The Phantom Pain;PS4;341
Spider-Man 2;PS2;341
F-1 Race;GB;341
FIFA Soccer 2003;PS2;34
LittleBigPlanet 2;PS3;339
Crash Bash;PS;339
Assassin's Creed Syndicate;PS4;339
LEGO Batman: The Videogame;X360;338
Destiny;XOne;337
WWF War Zone;PS;336
The Legend of Zelda: Majora's Mask;N64;336
Far Cry 3;PS3;335
Rugrats: Search For Reptar;PS;334
English Training: Have Fun Improving Your Skills!;DS;333
James Bond 007: Nightfire;PS2;333
Ratchet & Clank;PS2;333
Monster Hunter X;3DS;332
Star Wars Episode III: Revenge of the Sith;PS2;332
The Legend of Zelda: Spirit Tracks;DS;331
Max Payne;PS2;331
Assassin's Creed IV: Black Flag;X360;33
The Lord of the Rings: The Return of the King;PS2;328
Yokai Watch 2 Ganso/Honke;3DS;328
Gears of War: Ultimate Edition;XOne;328
True Crime: Streets of LA;PS2;327
Professor Layton and the Unwound Future;DS;326
Gran Turismo (PSP);PSP;325
FIFA 16;XOne;325
Wii Music;Wii;325
Tekken;PS;324
Madden NFL 16;PS4;324
Gran Turismo 6;PS3;323
Halo: The Master Chief Collection;XOne;323
007: Tomorrow Never Dies;PS;321
Super Mario Maker;WiiU;321
WWF SmackDown! 2: Know Your Role;PS;32
Baseball;NES;32
Killer Instinct;SNES;32
Dragon Quest VI: Maboroshi no Daichi;SNES;319
God of War: Chains of Olympus;PSP;318
Enter the Matrix;PS2;318
Crisis Core: Final Fantasy VII;PSP;318
Dance Central;X360;317
L.A. Noire;PS3;317
Ace Combat 04: Shattered Skies;PS2;317
Animal Crossing;GC;315
FIFA Soccer 08;PS2;314
Club Penguin: Elite Penguin Force;DS;314
Spider-Man;PS;313
Mario Party 9;Wii;313
Need for Speed III: Hot Pursuit;PS;312
Star Wars Episode I Racer;N64;312
Sonic Rush;DS;312
Dragon Warrior IV;NES;312
Rhythm Heaven;DS;311
Fallout: New Vegas;PS3;311
Personal Trainer: Cooking;DS;311
The Elder Scrolls IV: Oblivion;PS3;31
The Legend of Zelda: A Link Between Worlds;3DS;31
Resident Evil 6;PS3;31
Mass Effect 2;X360;31
Dragon Ball Z: Budokai;PS2;309
Madden NFL 2002;PS2;308
World Class Track Meet;NES;308
Donkey Kong;GB;307
The Sims: Vacation;PC;307
LEGO Batman: The Videogame;Wii;306
Animal Crossing: Happy Home Designer;3DS;305
The Sims 4;PC;305
Borderlands 2;X360;305
LEGO Batman: The Videogame;DS;305
Kung Fu Panda;X360;304
Mass Effect 3;X360;304
Heavy Rain;PS3;303
Rayman;PS;303
Saints Row 2;X360;303
Tom Clancy's Splinter Cell;XB;302
Mike Tyson's Punch-Out!!;NES;302
WWE SmackDown! Shut Your Mouth;PS2;302
FIFA 14;PS4;301
Killzone 2;PS3;301
Far Cry 3;X360;3
Epic Mickey;Wii;3
NBA 2K13;X360;3
Dragon Ball Z: Budokai Tenkaichi 3;PS2;3
wwe Smackdown vs. Raw 2006;PS2;3
Star Fox;SNES;299
The Sims: Livin Large;PC;299
World Soccer Winning Eleven 6 International;PS2;299
Devil May Cry;PS2;299
Star Wars: The Old Republic;PC;296
Middle-Earth: Shadow of Mordor;PS4;296
Sonic Heroes;PS2;296
Hitman 2: Silent Assassin;PS2;296
Titanfall;XOne;295
Battlefield: Bad Company 2;PS3;295
Wave Race 64;N64;294
SOCOM II: U.S. Navy SEALs;PS2;294
WWE SmackDown! vs. RAW 2006;PS2;294
Pac-Man Collection;GBA;294
Street Fighter IV;X360;294
inFAMOUS;PS3;293
Kirby Super Star Ultra;DS;292
Call of Duty: Ghosts;XOne;292
FIFA 15;X360;292
Super Mario World 2: Yoshi's Island;GBA;291
Mass Effect;X360;291
Sonic Mega Collection Plus;PS2;29
World Soccer Winning Eleven 7 International;PS2;29
Sega Superstars Tennis;X360;289
Hot Shots Golf 3;PS2;289
Cooking Mama: Cook Off;Wii;289
Call of Duty: Finest Hour;PS2;289
WarioWare: Smooth Moves;Wii;289
Syphon Filter;PS;288
Imagine: Babyz;DS;287
Colin McRae Rally;PS;287
Madden NFL 13;X360;286
The Elder Scrolls III: Morrowind;XB;286
Assassin's Creed IV: Black Flag;PS4;285
Command & Conquer: Red Alert;PC;285
F-Zero;SNES;285
Yoshi's Story;N64;285
Mortal Kombat;PS3;284
Madden NFL 10;X360;283
WWE SmackDown! vs. Raw;PS2;283
BioShock;X360;283
Metroid Prime;GC;282
Assassin's Creed: Brotherhood;PS3;282
Finding Nemo;GBA;282
Zumba Fitness 2;Wii;281
Myst;PC;281
Medal of Honor;PS3;281
Need for Speed: Most Wanted;PS3;281
Imagine: Fashion Designer;DS;28
WWE SmackDown! Here Comes the Pain;PS2;28
Hot Shots Golf;PS;279
A Bug's Life;PS;279
WWF SmackDown! Just Bring It;PS2;279
inFAMOUS: Second Son;PS4;279
Dragon Quest V: Tenkuu no Hanayome;SNES;279
Mortal Kombat Trilogy;PS;279
Monster Hunter Tri;3DS;279
NBA Street;PS2;279
Jak II;PS2;278
Ratchet & Clank: Going Commando;PS2;278
Need for Speed: Hot Pursuit;PS3;278
Skylanders: Spyro's Adventure;Wii;278
Battlefield 3;PC;278
Mortal Kombat X;PS4;278
The Sims;PS2;277
Killzone 3;PS3;277
Star Wars: The Force Unleashed;X360;277
Minecraft;XOne;276
Yoshi's Island DS;DS;276
Saints Row: The Third;X360;276
Missile Command;2600;276
Mario Paint;SNES;275
Tekken 6;PS3;275
Pokémon Stadium 2;N64;273
Metroid;NES;273
Sonic and the Secret Rings;Wii;273
FIFA 16;PS3;271
The Legend of Zelda: A Link to the Past;GBA;27
Onimusha: Warlords;PS2;27
Mario Party;N64;27
L.A. Noire;X360;27
Call of Duty 3;X360;27
Madden NFL 12;X360;269
LEGO Star Wars II: The Original Trilogy;PS2;269
Killzone: Shadow Fall;PS4;269
Madden NFL 11;X360;269
Burnout 3: Takedown;PS2;268
Yokai Watch 2 Shinuchi;3DS;268
Mortal Kombat;GEN;267
Mario vs. Donkey Kong: Mini-Land Mayhem!;DS;267
Professor Layton and the Last Specter;DS;267
Call Of Duty 2: Big Red One;PS2;267
Medal of Honor;PS;267
Fable;XB;266
Guitar Hero: World Tour;X360;266
FIFA 17;XOne;265
Hannah Montana;DS;265
Tom Clancy's Splinter Cell;PS2;265
Super Mario Bros.: The Lost Levels;NES;265
Need for Speed: Shift;PS3;265
Star Wars: Shadows of the Empire;N64;265
Medal of Honor Heroes;PSP;265
Final Fantasy XIII-2;PS3;263
Midnight Club: Street Racing;PS2;263
Skate 3;X360;263
ESPN NFL 2K5;PS2;262
Halo Wars;X360;262
NBA 2K12;X360;262
Pac-Man: Adventures in Time;PSP;262
FIFA Soccer 10;X360;262
Medal of Honor;X360;261
Harry Potter and the Chamber of Secrets;PS2;261
Streets of Rage;GEN;26
God of War Collection;PS3;26
NBA Live 2005;PS2;259
Mario Strikers Charged;Wii;258
FIFA Soccer 09;PS3;258
Style Savvy;DS;258
WWE SmackDown vs. RAW 2007;PS2;258
LEGO Star Wars: The Complete Saga;X360;257
Ratchet & Clank: Up Your Arsenal;PS2;257
Madden NFL 08;PS2;257
Monster Hunter Freedom 2;PSP;257
Ratchet & Clank Future: Tools of Destruction;PS3;256
Super Mario All-Stars: Limited Edition;Wii;256
Sonic Adventure 2 Battle;GC;256
Dragon Warrior II;NES;256
Ghostbusters: The Video Game (DS Version);X360;256
Madden NFL 13;PS3;256
Dragon Age: Origins;X360;256
Pokémon Colosseum;GC;254
LittleBigPlanet;PSP;254
Madden NFL 09;X360;253
Space Invaders;2600;253
Crazy Taxi;PS2;252
Art Academy;DS;252
NBA 2K14;X360;252
Perfect Dark;N64;252
Skylanders Giants;Wii;252
Dragon Warrior;NES;252
Deca Sports;Wii;25
PES 2009: Pro Evolution Soccer;PS2;25
Mario Party 2;N64;25
Marvel: Ultimate Alliance;X360;25
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City;XB;249
Mortal Kombat: Deadly Alliance;PS2;249
Game Party;Wii;248
Bloodborne;PS4;248
Tomb Raider: The Last Revelation;PS;248
Mario Party 4;GC;247
Pure;X360;247
Rock Band;X360;247
NBA 2K13;PS3;247
Saints Row: The Third;PS3;247
Resistance 2;PS3;246
NBA 2K15;PS4;245
Final Fantasy V;SNES;245
Final Fantasy Tactics;PS;245
Midnight Club: Los Angeles;PS3;245
Twisted Metal 2;PS;244
The Sims: Bustin' Out;PS2;243
Riven: The Sequel to Myst;PC;243
LEGO Harry Potter: Years 1-4;Wii;243
Need for Speed (2015);PS4;243
Call of Duty: Infinite Warfare;XOne;242
Madden NFL 16;XOne;242
Ice Hockey;NES;242
Sonic Adventure;DC;242
Tom Clancy's Rainbow Six: Vegas 2;X360;242
uDraw Studio;Wii;242
Tomb Raider (2013);PS3;242
Need for Speed Carbon: Own the City;PSP;242
Dragon Ball Z: Budokai 2;PS2;241
pro evolution soccer 2011;PS3;241
ATV Offroad Fury;PS2;241
Dino Crisis;PS;241
Need for Speed: ProStreet;PS2;241
Halo: Combat Evolved Anniversary;X360;24
Tetris Plus;PS;24
Pro Wrestling;NES;24
Theme Hospital;PC;24
Frogger's Adventures: Temple of the Frog;GBA;239
Monopoly;PC;239
;GEN;239
Guitar Hero;PS2;238
Madden NFL 11;PS3;238
WCW/nWo Revenge;N64;238
Yu-Gi-Oh! The Duelists of the Roses;PS2;238
Dead Island;X360;237
Half-Life 2;PC;237
The Incredibles;PS2;237
Madden NFL 08;X360;237
Tony Hawk's Underground 2;PS2;237
Zumba Fitness;X360;237
Madden NFL 10;PS3;237
Kirby's Dream Land 2;GB;236
Midnight Club: Los Angeles;X360;235
Donkey Kong Land II;GB;235
Dragon Warrior Monsters;GB;235
Kinect: Disneyland Adventures;X360;235
WWE SmackDown vs Raw 2008;PS2;234
The Legend of Zelda: Majora's Mask 3D;3DS;234
LEGO Indiana Jones: The Original Adventures;Wii;234
Resident Evil - Code: Veronica X;PS2;234
NBA 2K16;XOne;234
Kinect Sports: Season Two;X360;234
My Fitness Coach;Wii;232
Mario Tennis;N64;232
Grand Theft Auto;PS;232
James Bond 007: Everything or Nothing;PS2;231
Need For Speed: High Stakes;PS;231
Chrono Trigger;SNES;231
Guild Wars 2;PC;231
Cool Boarders 3;PS;231
Paper Mario: Sticker Star;3DS;23
WarioWare Touched!;DS;23
Batman: Arkham Origins;PS3;229
Tomb Raider II;PC;229
