Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
2000,0,0,0,0,0,0,0,0,0,0,99,0
2001,24,0,177,146,0,0,212,0,700,5,82,3
2002,34,32,5,28,56,1,78,0,0,116,129,10
2003,17,0,55,60,12,0,170,0,198,99,231,14
2004,139,0,0,8,15,0,27,285,849,39,0,6
2005,43,71,0,6,3,0,111,17,162,0,0,38
2006,37,0,0,7,0,0,0,92,624,205,0,3
