Year,Microsoft,Nintendo,Sega,Sony
2000,0,999,83,138
2001,37,1043,129,648
2002,7,1154,180,363
2003,22,832,145,135
2004,12,1603,37,153
2005,6,2788,155,130
2006,39,2864,431,196
