Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
2000,588,0,39,191,595,168,8,777,13,0,357,291
2001,228,186,707,0,1321,73,657,264,0,346,0,260
2002,336,267,0,308,1196,0,0,1746,282,14,25,0
2003,0,38,104,507,344,194,938,807,0,0,153,162
2004,262,243,0,340,954,293,102,2071,166,0,189,109
2005,65,83,55,3029,336,1644,2321,853,108,3721,375,43
2006,875,0,90,4190,785,540,53,2365,129,34,8294,0
