Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
2000,0,12,4,0,0,0,194,11,5,0,135,
2001,0,48,0,0,492,5,7,19,0,0,89,
2002,83,29,181,6,18,0,21,0,65,7,610,3
2003,24,0,75,0,473,0,41,52,0,0,338,25
2004,50,4,0,190,0,32,14,9,0,0,602,13
2005,182,0,11,207,435,49,0,40,7,0,69,
2006,24,125,245,378,246,28,280,88,22,28,32,9
